Mass,Radius,Predicted Values
3.816338058e+27,4861470898.8,36041648759.488
8.3541723408e+28,67202685.954,36103505765.611336
9.8731127664e+28,70062374.71800001,36115290858.50174
9.113642553599999e+28,70777296.90900001,36109398312.05654
1.67083446816e+29,82216051.965,36168323776.508575
8.733907447199999e+28,68632530.33600001,36106452038.83394
1.17717882984e+29,71492219.1,36130022224.61475
1.21515234048e+29,71492219.1,36132968497.83736
1.46198015964e+29,76496674.43699999,36152119273.78426
9.493377659999999e+28,70062374.71800001,36112344585.279144
7.974437234399999e+28,67202685.954,36100559492.38873
6.0757617024e+28,67917608.145,36085828126.27573
9.3035101068e+28,68632530.33600001,36110871448.66784
8.3541723408e+28,67202685.954,36103505765.611336
9.6832452132e+28,70062374.71800001,36113817721.89044
5.1264239364e+28,100804028.931,36078462443.21922
9.3035101068e+28,69347452.527,36110871448.66784
7.974437234399999e+28,67202685.954,36100559492.38873
1.46198015964e+29,76496674.43699999,36152119273.78426
8.1643047876e+28,72922063.482,36102032629.00004
7.594702128e+28,72207141.29100001,36097613219.16613
1.21515234048e+29,71492219.1,36132968497.83736
6.8352319152e+28,170866403.649,36091720672.720924
1.5189404256e+28,128685994.38,36050472847.6045
1.7088079788e+28,88650351.684,36051945984.215805
6.265629255599999e+28,68632530.33600001,36087301262.887024
5.696026596e+28,157282882.01999998,36082881853.05312
7.0250994684e+28,107238328.65,36093193809.33223
1.21515234048e+29,71492219.1,36132968497.83736
3.2277484044000003e+28,122251694.661,36063731077.10621
7.974437234399999e+28,67202685.954,36100559492.38873
7.784569681199998e+28,67202685.954,36099086355.777435
3.797351064e+27,1787305477.5000005,36041634027.9367
8.9237750004e+28,70062374.71800001,36107925175.44524
1.19616558516e+29,70062374.71800001,36131495361.22605
1.10123180856e+29,70062374.71800001,36124129678.16955
1.27211260644e+29,72207141.29100001,36137387907.67126
9.6832452132e+28,69347452.527,36113817721.89044
8.3541723408e+28,67202685.954,36103505765.611336
1.19616558516e+29,71492219.1,36131495361.22605
6.0757617024e+28,68632530.33600001,36085828126.27573
1.12021856388e+29,70777296.90900001,36125602814.780846
3.987218617199999e+28,94369729.21200001,36069623623.551414
1.44299340432e+29,75781752.246,36150646137.172966
1.36704638304e+29,73636985.67300001,36144753590.72776
1.7467814894399998e+29,85075740.729,36174216322.95378
1.12021856388e+29,70777296.90900001,36125602814.780846
2.1075298803e+28,107238328.65,36055039571.40818
1.7088079788e+28,92939884.83,36051945984.215805
1.424006649e+29,75066830.055,36149173000.56166
8.3541723408e+28,67202685.954,36103505765.611336
8.3541723408e+28,67202685.954,36103505765.611336
1.3100861170799998e+29,72922063.482,36140334180.89386
1.1392053192e+29,70777296.90900001,36127075951.39215
1.49995367028e+29,77211596.628,36155065547.00687
1.08224505324e+29,70777296.90900001,36122656541.55825
1.02528478728e+29,70062374.71800001,36118237131.72434
1.19616558516e+29,71492219.1,36131495361.22605
8.3541723408e+28,67202685.954,36103505765.611336
5.696026596e+28,102233873.313,36082881853.05312
1.3480596277199998e+29,73636985.67300001,36143280454.11646
7.974437234399999e+28,67202685.954,36100559492.38873
8.1643047876e+28,67202685.954,36102032629.00004
1.3480596277199998e+29,73636985.67300001,36143280454.11646
9.3035101068e+28,69347452.527,36110871448.66784
7.784569681199998e+28,67202685.954,36099086355.777435
1.3860331383599998e+29,74351907.864,36146226727.33906
4.5568212767999995e+28,100089106.74,36074043033.385315
8.9237750004e+28,69347452.527,36107925175.44524
8.544039894e+28,67917608.145,36104978902.22263
1.46198015964e+29,76496674.43699999,36152119273.78426
1.27211260644e+29,72207141.29100001,36137387907.67126
1.8227285107199998e+29,87220507.302,36180108869.39898
4.7466888299999995e+28,134405371.908,36075516169.99662
8.733907447199999e+28,68632530.33600001,36106452038.83394
1.3290728724000001e+29,72922063.482,36141807317.50516
1.3100861170799998e+29,72922063.482,36140334180.89386
1.2341390958e+28,109383095.223,36048263142.68755
1.78475500008e+29,86505585.111,36177162596.17638
8.733907447199999e+28,68632530.33600001,36106452038.83394
1.0442715426e+29,70777296.90900001,36119710268.33565
4.1770861704e+28,95084651.403,36071096760.16271
5.1264239364e+28,100804028.931,36078462443.21922
1.1581920745199998e+29,70777296.90900001,36128549088.00345
7.974437234399999e+28,67202685.954,36100559492.38873
1.3860331383599998e+29,74351907.864,36146226727.33906
2.2784106383999997e+28,92224962.639,36056365394.049706
4.5568212767999995e+28,99374184.549,36074043033.385315
3.2277484044000003e+28,113672628.369,36063731077.10621
1.67083446816e+29,82930974.156,36168323776.508575
1.5189404256e+29,77926518.81899999,36156538683.618164
1.1392053191999999e+28,83645896.347,36047526574.381905
2.848013298e+28,300267320.22,36060784803.883606
1.898675532e+28,271670432.58,36053419120.8271
5.696026596e+28,61483308.42600001,36082881853.05312
